gamma1.1,,gamma1.01,,gamma1.05,,gamma1.3,,gamma1.5,,gamma1.8,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.2800647520212264,0.988460350790514,0.3975496335274373,0.9981163537549409,0.2531813041702324,0.9967773086597199,0.050398612720149505,0.9981163537549409,0.05443277851538321,0.993440323263693,0.00138719721531569,0.9981163537549409
0.4151311841288858,0.9699302810715855,0.5823958304690872,0.9981163537549409,0.370934703173022,0.9938016528925622,0.09220817239888598,0.9948431324110674,0.0817692441500029,0.9831530561829477,0.002032193734074788,0.9981163537549409
0.5667723539048116,0.9405622117918315,0.8385086948935637,0.9981163537549409,0.5435374681020814,0.9857673823212363,0.13249407982531977,0.9839323945981556,0.11931404206288962,0.9504208427442125,0.002977090299213867,0.9981163537549409
0.7068558691350881,0.9064661561264824,1.5288459718791318,0.9938611660079053,0.7966982861580361,0.967615882141574,0.1878649610896328,0.9633383769762848,0.1534728638776978,0.9058296964207292,0.004361329582441841,0.9981163537549409
0.8565440036286853,0.8678421442687749,2.264426618997086,0.98793299846289,1.1283741208907183,0.9364706851119896,0.23672287521567886,0.9234869071146247,0.1827914537542118,0.8639142786561267,0.006389190053020916,0.9981163537549409
1.0025725309364972,0.8274996912055337,3.344273131942143,0.9752038043478263,1.465591690476944,0.8985558712121213,0.2770374873704214,0.8883270545125166,0.2102891667106479,0.821089632740448,0.00935993227798344,0.9981163537549409
1.1332807547754509,0.7924489459815548,3.8979918365478463,0.11434659090909083,1.775951457484631,0.8599864130434784,0.3131607971158066,0.8527307723978921,0.23776214288121628,0.7780831411945545,0.01371196216130925,0.9981163537549409
1.258941585552471,0.7586256587615284,4.846309643570966,0.9516961237872801,2.0786182161951325,0.8213624011857709,0.36342893555682004,0.808201323698946,0.26416918156879504,0.7388044850680722,0.019068377744900174,0.9981163537549409
1.398612605364949,0.7229839152393501,6.630525756967021,0.9165196216826653,2.391201161958699,0.7800379817193677,0.4145461913053042,0.7606986989459816,0.2935412781263438,0.695888916337286,0.02955983753433636,0.9932065217391306
1.5539579470809473,0.6835234134826527,8.1743221123699,0.8819169960474309,2.703215397881163,0.7417140151515152,0.46060893665143066,0.7198925395256918,0.326189525473366,0.6519186429512518,0.045281976928170924,0.9797863142292492
1.726529279123125,0.6446084486166009,9.565969748696457,0.8483664772727274,3.003201053805915,0.705163043478261,0.5118169110839175,0.677340662055336,0.3624618273311526,0.6086030138339922,0.06434562629046256,0.9542279109025035
1.9184332906034793,0.6027839536671059,11.002602918588217,0.8127701951581029,3.3364223739410415,0.6691576086956523,0.5687272544244838,0.6342432476943348,0.4027940918051236,0.5631052371541503,0.08504224121211235,0.914921977931489
2.131574039394288,0.5624142237593325,12.656864099271072,0.7722640810276681,3.7071647157892462,0.6282423418972333,0.6320113199711915,0.5887454710144928,0.44757894269058895,0.5202260375494072,0.10304605748579393,0.8779891304347828
